STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2019
01,000,Alabama,Alabama,4903185
01,001,Alabama,Autauga County,55869
01,003,Alabama,Baldwin County,223234
01,005,Alabama,Barbour County,24686
01,007,Alabama,Bibb County,22394
01,009,Alabama,Blount County,57826
01,011,Alabama,Bullock County,10101
01,013,Alabama,Butler County,19448
01,015,Alabama,Calhoun County,113605
01,017,Alabama,Chambers County,33254
01,019,Alabama,Cherokee County,26196
01,021,Alabama,Chilton County,44428
01,023,Alabama,Choctaw County,12589
01,025,Alabama,Clarke County,23622
01,027,Alabama,Clay County,13235
01,029,Alabama,Cleburne County,14910
01,031,Alabama,Coffee County,52342
01,033,Alabama,Colbert County,55241
01,035,Alabama,Conecuh County,12067
01,037,Alabama,Coosa County,10663
01,039,Alabama,Covington County,37049
01,041,Alabama,Crenshaw County,13772
01,043,Alabama,Cullman County,83768
01,045,Alabama,Dale County,49172
01,047,Alabama,Dallas County,37196
01,049,Alabama,DeKalb County,71513
01,051,Alabama,Elmore County,81209
01,053,Alabama,Escambia County,36633
01,055,Alabama,Etowah County,102268
01,057,Alabama,Fayette County,16302
01,059,Alabama,Franklin County,31362
01,061,Alabama,Geneva County,26271
01,063,Alabama,Greene County,8111
01,065,Alabama,Hale County,14651
01,067,Alabama,Henry County,17205
01,069,Alabama,Houston County,105882
01,071,Alabama,Jackson County,51626
01,073,Alabama,Jefferson County,658573
01,075,Alabama,Lamar County,13805
01,077,Alabama,Lauderdale County,92729
01,079,Alabama,Lawrence County,32924
01,081,Alabama,Lee County,164542
01,083,Alabama,Limestone County,98915
01,085,Alabama,Lowndes County,9726
01,087,Alabama,Macon County,18068
01,089,Alabama,Madison County,372909
01,091,Alabama,Marengo County,18863
01,093,Alabama,Marion County,29709
01,095,Alabama,Marshall County,96774
01,097,Alabama,Mobile County,413210
01,099,Alabama,Monroe County,20733
01,101,Alabama,Montgomery County,226486
01,103,Alabama,Morgan County,119679
01,105,Alabama,Perry County,8923
01,107,Alabama,Pickens County,19930
01,109,Alabama,Pike County,33114
01,111,Alabama,Randolph County,22722
01,113,Alabama,Russell County,57961
01,115,Alabama,St. Clair County,89512
01,117,Alabama,Shelby County,217702
01,119,Alabama,Sumter County,12427
01,121,Alabama,Talladega County,79978
01,123,Alabama,Tallapoosa County,40367
01,125,Alabama,Tuscaloosa County,209355
01,127,Alabama,Walker County,63521
01,129,Alabama,Washington County,16326
01,131,Alabama,Wilcox County,10373
01,133,Alabama,Winston County,23629
02,000,Alaska,Alaska,731545
02,013,Alaska,Aleutians East Borough,3337
02,016,Alaska,Aleutians West Census Area,5634
02,020,Alaska,Anchorage Municipality,288000
02,050,Alaska,Bethel Census Area,18386
02,060,Alaska,Bristol Bay Borough,836
02,068,Alaska,Denali Borough,2097
02,070,Alaska,Dillingham Census Area,4916
02,090,Alaska,Fairbanks North Star Borough,96849
02,100,Alaska,Haines Borough,2530
02,105,Alaska,Hoonah-Angoon Census Area,2148
02,110,Alaska,Juneau City and Borough,31974
02,122,Alaska,Kenai Peninsula Borough,58708
02,130,Alaska,Ketchikan Gateway Borough,13901
02,150,Alaska,Kodiak Island Borough,12998
02,158,Alaska,Kusilvak Census Area,8314
02,164,Alaska,Lake and Peninsula Borough,1592
02,170,Alaska,Matanuska-Susitna Borough,108317
02,180,Alaska,Nome Census Area,10004
02,185,Alaska,North Slope Borough,9832
02,188,Alaska,Northwest Arctic Borough,7621
02,195,Alaska,Petersburg Borough,3266
02,198,Alaska,Prince of Wales-Hyder Census Area,6203
02,220,Alaska,Sitka City and Borough,8493
02,230,Alaska,Skagway Municipality,1183
02,240,Alaska,Southeast Fairbanks Census Area,6893
02,261,Alaska,Valdez-Cordova Census Area,9202
